price,area,Bedrooms,Bathrooms,Balcony,parking,Lift,Price_sqft
22400000,629,2,2,1,1,2,35612.08267
35000000,974,3,2,1,1,2,35934.29158
31700000,968,3,3,1,1,2,32747.93388
18700000,629,2,2,1,1,3,29729.72973
13500000,1090,2,2,1,1,2,12385.3211
13000000,630,2,2,1,1,2,20634.92063
20700000,1188,2,2,2,1,5,17424.24242
22900000,968,3,3,1,1,6,23657.02479
17000000,820,2,2,1,1,3,20731.70732
81000000,3260,3,3,3,3,4,24846.62577
46000000,2500,4,4,2,3,4,18400
34000000,1085,3,3,1,2,3,31336.40553
65000000,1500,2,2,1,2,2,43333.33333
20300000,891,3,3,1,1,4,22783.38945
25000000,800,2,2,1,1,1,31250
21000000,1020,3,3,1,2,2,20588.23529
102000000,3180,4,4,1,3,2,32075.4717
22500000,1000,3,3,1,1,2,22500
19000000,1058,2,2,1,1,4,17958.4121
15500000,875,2,2,1,2,2,17714.28571
25000000,1500,3,3,1,1,4,16666.66667
22500000,1600,3,3,1,2,5,14062.5
55000000,2430,4,4,4,2,4,22633.74486
15000000,688,2,2,2,1,1,21802.32558
23900000,950,2,2,1,1,2,25157.89474
25000000,900,2,2,1,2,2,27777.77778
69000000,2135,4,5,1,3,6,32318.50117
9750000,1412,3,3,5,1,2,6905.09915
25500000,1450,3,3,1,1,5,17586.2069
39800000,1765,3,2,1,1,8,22549.57507
47500000,1818,3,3,2,2,3,26127.61276
34000000,1355,3,3,1,1,3,25092.25092
46300000,1415,3,3,1,2,6,32720.84806
8600000,1045,2,2,4,1,2,8229.665072
20000000,965,2,2,1,1,4,20725.3886
33500000,2560,3,3,1,3,5,13085.9375
62500000,1500,3,3,1,1,8,41666.66667
47000000,2195,3,4,1,2,5,21412.30068
18500000,1175,2,2,1,1,2,15744.68085
28000000,983,2,2,3,1,8,28484.23194
12500000,1031,2,2,1,1,2,12124.15131
15500000,1255,2,2,1,1,4,12350.59761
36500000,1600,3,3,4,2,4,22812.5
44500000,2500,4,4,1,1,2,17800
4850000,950,2,2,3,1,2,5105.263158
40600000,2800,4,4,4,3,8,14500
26000000,1350,2,2,1,2,4,19259.25926
41500000,2205,3,3,2,2,5,18820.86168
60000000,1976,3,2,2,1,1,30364.37247
9420000,1060,2,3,4,1,2,8886.792453
15200000,1084,2,2,1,1,2,14022.14022
26400000,1650,3,3,1,2,4,16000
14600000,913,2,2,1,1,2,15991.23768
32500000,1034,3,3,1,1,6,31431.33462
27500000,1260,3,3,1,1,2,21825.39683
17500000,1175,2,2,1,1,2,14893.61702
17000000,1100,2,2,1,1,4,15454.54545
120000000,3000,6,4,2,2,4,40000
30000000,1094,3,3,1,1,3,27422.30347
27000000,1550,3,3,3,2,4,17419.35484
15300000,1181,2,2,1,2,3,12955.12278
36000000,875,2,2,1,2,4,41142.85714
63000000,1669,3,3,1,2,4,37747.15398
13400000,1035,2,2,1,1,2,12946.8599
55500000,1775,3,3,1,2,3,31267.60563
49000000,2252,3,3,1,2,4,21758.43694
22500000,1390,2,2,3,1,6,16187.05036
