price,Address,area,Bedrooms,Bathrooms,Balcony,parking,Lift,Price_sqft
22400000,"Chembur, Mumbai - Harbour Line, Maharashtra",629,2,2,1,1,2,35612.08267
35000000,"Chembur, Mumbai - Harbour Line, Maharashtra",974,3,2,1,1,2,35934.29158
31700000,"Ghatkopar East, Mumbai - Central Line, Maharashtra",968,3,3,1,1,2,32747.93388
18700000,"Plot Number 283, Road Number 3, Jawahar Nagar, Off S. V. Road, Goregaon (West), Mumbai, Maharashtra, India 400104, Goregaon West, Mumbai - North Mumbai, Maharashtra",629,2,2,1,1,3,29729.72973
13500000,"malad east, Malad East, Mumbai - North Mumbai, Maharashtra",1090,2,2,1,1,2,12385.3211
13000000,"Bhandup, Mumbai, Bhandup, Mumbai - Central Line, Maharashtra",630,2,2,1,1,2,20634.92063
20700000,"Siddharth Nagar, Goregaon West, Mumbai, Goregaon West, Mumbai - North Mumbai, Maharashtra",1188,2,2,2,1,5,17424.24242
22900000,"Goregaon West, Mumbai, Best Nagar - Goregaon West, Mumbai - North Mumbai, Maharashtra",968,3,3,1,1,6,23657.02479
17000000,"Wadala East, Mumbai, Wadala, Mumbai - Harbour Line, Maharashtra",820,2,2,1,1,3,20731.70732
81000000,"Worli, Mumbai, Worli, Mumbai - South Mumbai, Maharashtra",3260,3,3,3,3,4,24846.62577
46000000,"near by nahur station, Mulund West, Mumbai - Central Line, Maharashtra",2500,4,4,2,3,4,18400
34000000,"Mulund West, Mumbai, Mulund West, Mumbai - Central Line, Maharashtra",1085,3,3,1,2,3,31336.40553
65000000,"Devle Rd, JVPD Scheme, Juhu, Mumbai, Maharashtra, Juhu, Mumbai - Western Suburbs, Maharashtra",1500,2,2,1,2,2,43333.33333
20300000,"Kanjurmarg West, Mumbai, Kanjurmarg West, Mumbai - Central Line, Maharashtra",891,3,3,1,1,4,22783.38945
25000000,"Rajawadi, Ghatkopar east, Ghatkopar East, Mumbai - Central Line, Maharashtra",800,2,2,1,1,1,31250
21000000,"Crompton Greaves Compound, Maharashtra, Kanjurmarg East, Mumbai, Maharashtra, Kanjurmarg East, Mumbai - Central Line, Maharashtra",1020,3,3,1,2,2,20588.23529
102000000,"Rustomjee Seasons Madhusudan Kalelkar Rd near MIG Colony Kala Nagar Bandra East Mumbai Maharashtra 400051, Bandra East, Mumbai - Western Suburbs, Maharashtra",3180,4,4,1,3,2,32075.4717
22500000,"Vazira naka, Borivali West, Mumbai - Western Suburbs, Maharashtra",1000,3,3,1,1,2,22500
19000000,"WING-C, DC Das Marg, P&T Staff Colony, Mulund West, Mumbai, Maharashtra, Mulund West, Mumbai - Central Line, Maharashtra",1058,2,2,1,1,4,17958.4121
15500000,"Swapna Nagari Near Vasant Garden Mulund West, Mulund West, Mumbai - Central Line, Maharashtra",875,2,2,1,2,2,17714.28571
25000000,"Ghatkopar West, Mumbai, Ghatkopar West, Mumbai - Central Line, Maharashtra",1500,3,3,1,1,4,16666.66667
22500000,"Mulund West, Mumbai, Mulund West, Mumbai - Central Line, Maharashtra",1600,3,3,1,2,5,14062.5
55000000,"Goregaon East, Mumbai, Goregaon East, Mumbai - Western Suburbs, Maharashtra",2430,4,4,4,2,4,22633.74486
15000000,"Mulund West, Mumbai, Mulund West, Mumbai - Central Line, Maharashtra",688,2,2,2,1,1,21802.32558
23900000,"Andheri West, Mumbai, Veera Desai Road, Mumbai, Maharashtra",950,2,2,1,1,2,25157.89474
25000000,"Andheri west., Seven Bungalows, Mumbai - Western Suburbs, Maharashtra",900,2,2,1,2,2,27777.77778
69000000,"Opposite Hard Rock Cafe, Pandurang Budhkar Marg, Worli, Mumbai - South Mumbai, Maharashtra",2135,4,5,1,3,6,32318.50117
9750000,"Mira Road, Mumbai, Beverly Park, Mumbai - Mira Road and Beyond, Maharashtra",1412,3,3,5,1,2,6905.09915
25500000,"Borivali East, Mumbai, Magathane, Mumbai - North Mumbai, Maharashtra",1450,3,3,1,1,5,17586.2069
39800000,"Crescent Bay, Jerbai Wadia Road, Parel, Mumbai., Parel, Mumbai - South Mumbai, Maharashtra",1765,3,2,1,1,8,22549.57507
47500000,"Mahalakshmi, Mumbai, Vatsalabai Desai Chowk, Mumbai - South Mumbai, Maharashtra",1818,3,3,2,2,3,26127.61276
34000000,"Andheri West, Mumbai, Lallu Bhai Park, Mumbai - Western Suburbs, Maharashtra",1355,3,3,1,1,3,25092.25092
46300000,"Mulund West, Mumbai, Mulund West, Mumbai - Central Line, Maharashtra",1415,3,3,1,2,6,32720.84806
8600000,"Mira Road, Mumbai, Ramdev Park, Mumbai - Mira Road and Beyond, Maharashtra",1045,2,2,4,1,2,8229.665072
20000000,"Wadala East, Mumbai-400037., Bhakti Park, Mumbai - Harbour Line, Maharashtra",965,2,2,1,1,4,20725.3886
